symbol,open,high,low,close,volume,timestamp
NIFTY,23156.25,23157.35,23149.1,23150.25,1100446,2026-06-09T10:23:00.000000Z
NIFTY,23156.25,23157.35,23149.1,23150.25,1100446,2026-06-09T10:23:00.000000Z
NIFTY,23156.25,23157.35,23149.1,23150.25,1100446,2026-06-09T10:23:00.000000Z
NIFTY,23150.05,23159.85,23148.7,23158.15,1079294,2026-06-09T10:24:00.000000Z
NIFTY,23150.05,23159.85,23148.7,23158.15,1079294,2026-06-09T10:24:00.000000Z
NIFTY,23150.05,23159.85,23148.7,23158.15,1079294,2026-06-09T10:24:00.000000Z
NIFTY,23150.05,23159.85,23148.7,23158.15,1079294,2026-06-09T10:24:00.000000Z
NIFTY,23158.1,23160.15,23155.25,23155.5,661238,2026-06-09T10:25:00.000000Z
NIFTY,23158.1,23160.15,23155.25,23155.5,661238,2026-06-09T10:25:00.000000Z
NIFTY,23158.1,23160.15,23155.25,23155.5,661238,2026-06-09T10:25:00.000000Z
NIFTY,23158.1,23160.15,23155.25,23155.5,661238,2026-06-09T10:25:00.000000Z
NIFTY,23154.9,23157.55,23154.05,23155.85,430624,2026-06-09T10:26:00.000000Z
NIFTY,23154.9,23157.55,23154.05,23155.85,430624,2026-06-09T10:26:00.000000Z
NIFTY,23154.9,23157.55,23154.05,23155.85,430624,2026-06-09T10:26:00.000000Z
NIFTY,23154.9,23157.55,23154.05,23155.85,430624,2026-06-09T10:26:00.000000Z
NIFTY,23154.85,23159.95,23154.35,23159.1,551078,2026-06-09T10:27:00.000000Z
NIFTY,23154.85,23159.95,23154.35,23159.1,551078,2026-06-09T10:27:00.000000Z
NIFTY,23154.85,23159.95,23154.35,23159.1,551078,2026-06-09T10:27:00.000000Z
NIFTY,23154.85,23159.95,23154.35,23159.1,551078,2026-06-09T10:27:00.000000Z
NIFTY,23158.95,23165.95,23158.25,23165.7,1109903,2026-06-09T10:28:00.000000Z
NIFTY,23158.95,23165.95,23158.25,23165.7,1109903,2026-06-09T10:28:00.000000Z
NIFTY,23158.95,23165.95,23158.25,23165.7,1109903,2026-06-09T10:28:00.000000Z
NIFTY,23158.95,23165.95,23158.25,23165.7,1109903,2026-06-09T10:28:00.000000Z
NIFTY,23165.75,23168.1,23161.7,23162.35,695542,2026-06-09T10:29:00.000000Z
NIFTY,23165.75,23168.1,23161.7,23162.35,695542,2026-06-09T10:29:00.000000Z
NIFTY,23165.75,23168.1,23161.7,23162.35,695542,2026-06-09T10:29:00.000000Z
NIFTY,23165.75,23168.1,23161.7,23162.35,695542,2026-06-09T10:29:00.000000Z
NIFTY,23162.5,23166.4,23161.25,23165.7,514713,2026-06-09T10:30:00.000000Z
NIFTY,23162.5,23166.4,23161.25,23165.7,514713,2026-06-09T10:30:00.000000Z
NIFTY,23162.5,23166.4,23161.25,23165.7,514713,2026-06-09T10:30:00.000000Z
NIFTY,23162.5,23166.4,23161.25,23165.7,514713,2026-06-09T10:30:00.000000Z
NIFTY,23165.45,23165.85,23160.3,23160.4,625478,2026-06-09T10:31:00.000000Z
NIFTY,23165.45,23165.85,23160.3,23160.4,625478,2026-06-09T10:31:00.000000Z
NIFTY,23165.45,23165.85,23160.3,23160.4,625478,2026-06-09T10:31:00.000000Z
NIFTY,23165.45,23165.85,23160.3,23160.4,625478,2026-06-09T10:31:00.000000Z
NIFTY,23160.25,23160.7,23153.55,23153.7,417356,2026-06-09T10:32:00.000000Z
NIFTY,23160.25,23160.7,23153.55,23153.7,417356,2026-06-09T10:32:00.000000Z
NIFTY,23160.25,23160.7,23153.55,23153.7,417356,2026-06-09T10:32:00.000000Z
NIFTY,23160.25,23160.7,23153.55,23153.7,417356,2026-06-09T10:32:00.000000Z
NIFTY,23153.8,23157.3,23153.25,23157.3,557777,2026-06-09T10:33:00.000000Z
NIFTY,23153.8,23157.3,23153.25,23157.3,557777,2026-06-09T10:33:00.000000Z
NIFTY,23153.8,23157.3,23153.25,23157.3,557777,2026-06-09T10:33:00.000000Z
NIFTY,23153.8,23157.3,23153.25,23157.3,557777,2026-06-09T10:33:00.000000Z
NIFTY,23157.45,23160.85,23156.75,23158.3,602224,2026-06-09T10:34:00.000000Z
NIFTY,23157.45,23160.85,23156.75,23158.3,602224,2026-06-09T10:34:00.000000Z
NIFTY,23157.45,23160.85,23156.75,23158.3,602224,2026-06-09T10:34:00.000000Z
NIFTY,23157.45,23160.85,23156.75,23158.3,602224,2026-06-09T10:34:00.000000Z
NIFTY,23157.7,23158.65,23152.4,23152.4,797725,2026-06-09T10:35:00.000000Z
NIFTY,23157.7,23158.65,23152.4,23152.4,797725,2026-06-09T10:35:00.000000Z
NIFTY,23157.7,23158.65,23152.4,23152.4,797725,2026-06-09T10:35:00.000000Z
NIFTY,23157.7,23158.65,23152.4,23152.4,797725,2026-06-09T10:35:00.000000Z
NIFTY,23151.85,23153.05,23148.85,23149.9,627079,2026-06-09T10:36:00.000000Z
NIFTY,23151.85,23153.05,23148.85,23149.9,627079,2026-06-09T10:36:00.000000Z
NIFTY,23151.85,23153.05,23148.85,23149.9,627079,2026-06-09T10:36:00.000000Z
NIFTY,23151.85,23153.05,23148.85,23149.9,627079,2026-06-09T10:36:00.000000Z
NIFTY,23149.7,23154.9,23147.7,23153.2,1271625,2026-06-09T10:37:00.000000Z
NIFTY,23149.7,23154.9,23147.7,23153.2,1271625,2026-06-09T10:37:00.000000Z
NIFTY,23149.7,23154.9,23147.7,23153.2,1271625,2026-06-09T10:37:00.000000Z
NIFTY,23149.7,23154.9,23147.7,23153.2,1271625,2026-06-09T10:37:00.000000Z
NIFTY,23153.2,23153.95,23149.75,23153.45,884387,2026-06-09T10:38:00.000000Z
NIFTY,23153.2,23153.95,23149.75,23153.45,884387,2026-06-09T10:38:00.000000Z
NIFTY,23153.2,23153.95,23149.75,23153.45,884387,2026-06-09T10:38:00.000000Z
NIFTY,23153.2,23153.95,23149.75,23153.45,884387,2026-06-09T10:38:00.000000Z
NIFTY,23153.2,23155.35,23151.6,23151.6,618283,2026-06-09T10:39:00.000000Z
NIFTY,23153.2,23155.35,23151.6,23151.6,618283,2026-06-09T10:39:00.000000Z
NIFTY,23153.2,23155.35,23151.6,23151.6,618283,2026-06-09T10:39:00.000000Z
NIFTY,23153.2,23155.35,23151.6,23151.6,618283,2026-06-09T10:39:00.000000Z
NIFTY,23151.65,23152,23146.9,23150.45,548430,2026-06-09T10:40:00.000000Z
NIFTY,23151.65,23152,23146.9,23150.45,548430,2026-06-09T10:40:00.000000Z
